"id","likeCount","tmdbId","adult","backdropPath","firstAirDate","inProduction","lastAirDate","posterPath","status","tagline","voteCount","titleTranslations","overviewTranslations","title","overview","popularity","voteAverage","releaseDate"
1886,0,202318,False,"/o3tS28maAJTDt9Zmnn4JvNv2Hix.jpg","2023-01-14",False,"2023-03-05","/qRDWZeaJirRjezReXPVH1C7wOkM.jpg","Ended","",97,"{""en"": ""Crash Course in Romance"", ""kr"": ""일타 스캔들"", ""vn"": ""Khóa Học Yêu Cấp Tốc""}","{""en"": ""The series follows the bittersweet relationship between a banchan shop owner whose daughter enters the war of Korea's college entrance exams, and a top hagwon instructor."", ""kr"": ""대한민국 최고의 일타강사와 학부모 사이에서 벌어지는 해프닝을 그린 작품"", ""vn"": ""Một người mẹ tốt bụng xoay xở với thế giới giáo dục tư thục khắc nghiệt khi con gái của cô cố gắng tham gia lớp học của một giáo viên dạy toán nổi tiếng.""}","Crash Course in Romance","The series follows the bittersweet relationship between a banchan shop owner whose daughter enters the war of Korea's college entrance exams, and a top hagwon instructor.","70.307","8.196","2023-01-14 00:00:00"
1887,0,224030,False,"/d5XO4xMMYukfDgcuAe4IBQ7MBmY.jpg","2024-05-29",False,"2024-06-19","/bK5kGsWq9vGALbDgPmNiLFNFVI1.jpg","Ended","",42,"{""en"": ""High School Return of a Gangster"", ""kr"": ""High School Return of a Gangster"", ""vn"": ""Đại Ca Đi Học""}","{""en"": ""A spirit of a middle school dropout gangster who accidentally possesses an 18-year-old boy’s body who killed himself, goes back to high school to take a revenge against the bullies with his gangster skills and encounters unexpected relationship."", ""kr"": ""가난한 집에서 태어나, 초등학교만 졸업한 채 생활전선에 뛰어들며 평생 험한 길만 걸어온 칠성파의 2인자 조폭 김득팔. 늦깎이 학생으로 대입을 준비하던 그에게 조직은 두목의 자리에 오를 것을 제안한다. 조폭으로서의 삶과 학업의 갈림길에서 고민하는 득팔. 우연히 자살하려는 열아홉 고등학생 송이헌을 구하려다가 사고를 당하고, 그의 몸에 영혼이 들어가게 된다. 이헌의 몸에서 빠져나갈 방법을 찾던 득팔은 이헌이 자살하려던 이유가 홍재민 패거리의 학폭과 왕따 때문이었음을 알게되고, 이헌이 대신 복수해 주기로 결심하는데..."", ""vn"": ""Kim Deuk Pal là một tay trùm xã hội đen 47 tuổi, là kẻ đứng thứ 2 trong băng đảng của hắn. Anh ấy không có nền tảng học vấn do cha mẹ nghèo nhưng anh ấy có ước mơ được vào một trường đại học. Anh ấy đã học tập để đạt được ước mơ của mình, nhưng điều đó không hề dễ dàng. Một ngày nọ, anh nhìn thấy một chàng trai trẻ, Song Yi Heon, sắp tự sát. Khi đó, linh hồn của Deuk Pal đã chiếm hữu cơ thể của cậu học sinh trung học 19 tuổi có ý định tự tử. Deuk Pal sớm biết rằng Yi Heon là nạn nhân của sự bắt nạt, điều này khiến anh muốn tự kết liễu đời mình. Giờ đây, Deuk Pal, trong cơ thể của Yi Heon, đối mặt với những kẻ bắt nạt để trừng phạt chúng và trở thành bạn của bạn cùng lớp Choi Se Kyung. Se Kyung là một học sinh gương mẫu, có hoàn cảnh hoàn hảo nhưng lại bị bố bạo hành tại nhà.""}","High School Return of a Gangster","A spirit of a middle school dropout gangster who accidentally possesses an 18-year-old boy’s body who killed himself, goes back to high school to take a revenge against the bullies with his gangster skills and encounters unexpected relationship.","53.134","8.6","2024-05-29 00:00:00"
1888,0,65791,False,"/3CaOsrj3y3WlqW1tDCPsdf3P7Bq.jpg","2016-03-05",False,"2016-04-23","/teh4a6VOo7nZWeojl8eEfQsOMQG.jpg","Ended","",12,"{""en"": ""My Little Baby"", ""kr"": ""마이 리틀 베이비"", ""vn"": ""Bé Con""}","{""en"": ""Cha Jung Han is a detective for a special investigation team. He is busy with investigating violent cases including drugs and gangs, but one day he takes in his niece, Eun Ae and struggles to raise her. Meanwhile, Han Ye Seul is a single mother who raises her 5-years-old son alone. She is Cha Jung-Han’s first love."", ""kr"": ""강력계 특별수사반 에이스였던 한 남자가 아이를 키우게 되면서 일어나는 이야기를 그린 드라마"", ""vn"": ""Cha Jung Han (Oh Ji Ho) là thám tử thuộc đội điều tra đặc biệt. Bình thường, anh ta rất bận rộn với công việc phá án, từ những phi vụ chống buôn bán ma túy lại đến xã hội đen. Nhưng không phải cứ đầu óc thông minh thì làm cái gì cũng giỏi. Cha Jung Han có thể làm một thám tử tài ba, nhưng một ngày nọ, khi được giao trông nom cô cháu gái Eun Ae, anh cũng đã phải vật lộn đủ kiểu để giữ cho đứa trẻ ngoan ngoãn, mà không phải lần nào cũng thành công.""}","My Little Baby","Cha Jung Han is a detective for a special investigation team. He is busy with investigating violent cases including drugs and gangs, but one day he takes in his niece, Eun Ae and struggles to raise her. Meanwhile, Han Ye Seul is a single mother who raises her 5-years-old son alone. She is Cha Jung-Han’s first love.","70.189","5.5","2016-03-05 00:00:00"
1889,0,44330,False,"/n8ux6J7QzdLsxVkMpj1YtK6HYn1.jpg","2010-07-31",False,"2010-07-31","/nnCma0e35LNC066hneSvDqZXuvX.jpg","Ended","",2,"{""en"": ""Gloria"", ""kr"": ""글로리아 "", ""vn"": ""Gloria""}","{""en"": ""Gloria is a South Korean television series starring Bae Doona, Lee Chun-hee, Seo Ji-seok, So Yi-hyun, Oh Hyun-kyung and Lee Jong-won in a tale of romance, survival, overcoming poverty and adversity, and making your dreams come true. It aired on Munhwa Broadcasting Corporation from July 31, 2010 to January 30, 2011 on Saturdays and Sundays at 20:40 for 50 episodes."", ""kr"": ""나이트클럽을 배경으로 치열한 삶을 살아가는 인물들의 이야기를 다룬 작품이다.\n\n"", ""vn"": ""Gloria is a South Korean television series starring Bae Doona, Lee Chun-hee, Seo Ji-seok, So Yi-hyun, Oh Hyun-kyung and Lee Jong-won in a tale of romance, survival, overcoming poverty and adversity, and making your dreams come true. It aired on Munhwa Broadcasting Corporation from July 31, 2010 to January 30, 2011 on Saturdays and Sundays at 20:40 for 50 episodes.""}","Gloria","Gloria is a South Korean television series starring Bae Doona, Lee Chun-hee, Seo Ji-seok, So Yi-hyun, Oh Hyun-kyung and Lee Jong-won in a tale of romance, survival, overcoming poverty and adversity, and making your dreams come true. It aired on Munhwa Broadcasting Corporation from July 31, 2010 to January 30, 2011 on Saturdays and Sundays at 20:40 for 50 episodes.","37.289","6.5","2010-07-31 00:00:00"
1890,0,200709,False,"/qpDzeZ41Sr7P59RSh9U4SVnMRUs.jpg","2022-11-18",True,"2022-11-18","/xRw3akJQdfgqx0x4fiHW7nIkEUJ.jpg","Returning Series","A model student makes friends for the first time. Their friendship grows while confronting school violence.",94,"{""en"": ""Weak Hero Class 1"", ""kr"": ""약한영웅"", ""vn"": ""Người Hùng Yếu Đuối""}","{""en"": ""Yeon Shi-eun is a model student, who ranks at the top at his school. Physically, he appears like a weak boy, but, by using his smarts, tools, and psychology, he fights against violence that takes place inside and outside of his school."", ""kr"": ""연시은은 공부 외엔 관심이 없지만 걸어온 싸움을 피하지도 않는다. 타고난 두뇌로 유리한 상황을 만들고 주변 도구를 활용하여 자신을 보호하던 시은이지만 혼자이기에 결국 위기가 닥치고, 그 순간 또 다른 아웃사이더 안수호와 전학생 오범석의 도움을 받는다. 그렇게 정글 같은 학교에서 살아남기 위해 따로 또 같이 싸우던 이들 사이에 묘한 우정이 싹튼다."", ""vn"": ""Người Hùng Yếu Đuối kể về Yeon Shi-Eun, một học sinh gương mẫu, đứng đầu trường trung học của mình. Về mặt thể chất, Yeon Shi-Eun trông giống như một cậu bé yếu đuối, nhưng bằng cách sử dụng trí thông minh, công cụ và tâm lý của mình, anh ấy chiến đấu chống lại bạo lực diễn ra bên trong và bên ngoài trường học của mình.""}","Weak Hero Class 1","Yeon Shi-eun is a model student, who ranks at the top at his school. Physically, he appears like a weak boy, but, by using his smarts, tools, and psychology, he fights against violence that takes place inside and outside of his school.","53.568","8.4","2022-11-18 00:00:00"
1891,0,5208,False,NULL,"2006-05-17",False,"2006-07-06","/rZpOAZrzcjG6GzF3SozhRRBuayw.jpg","Ended","",2,"{""en"": ""Smile Again"", ""kr"": ""Smile Again"", ""vn"": ""Smile Again""}","{""en"": ""Smile Again is a 2006 South Korea television series starring Lee Dong-gun, Kim Hee-sun, Lee Jin-wook and Yoon Se-ah. It aired on SBS from May 17 to July 6, 2006 on Wednesdays and Thursdays at 21:55 for 16 episodes."", ""kr"": ""두 남자의 우정이 한 여자를 사랑하게 되며 그려지는 엇갈린 사랑 이야기."", ""vn"": ""Smile Again is a 2006 South Korea television series starring Lee Dong-gun, Kim Hee-sun, Lee Jin-wook and Yoon Se-ah. It aired on SBS from May 17 to July 6, 2006 on Wednesdays and Thursdays at 21:55 for 16 episodes.""}","Smile Again","Smile Again is a 2006 South Korea television series starring Lee Dong-gun, Kim Hee-sun, Lee Jin-wook and Yoon Se-ah. It aired on SBS from May 17 to July 6, 2006 on Wednesdays and Thursdays at 21:55 for 16 episodes.","48.262","6","2006-05-17 00:00:00"
1892,0,3729,False,"/buLTIMHGzUOIgskUzqg7WML4vcV.jpg","2006-11-06",False,"2007-11-30","/2p9ZBFn6TJGN2bci4DymhngEaeS.jpg","Ended","",12,"{""en"": ""High Kick"", ""kr"": ""거침없이 하이킥"", ""vn"": ""Gia Đình Là Số Một Phần 1""}","{""en"": ""High Kick! was a popular South Korean situation comedy revolving around the life of the Lee family, taking place in Seoul at the same time as the broadcast. The title of the show \""High Kick!\"" has several implications, one of which is the oft-depicted high kicks of Yoon-ho, one of the main characters. The show aired in South Korea from Monday to Friday in sitcom format. Due to its popularity, the show filmed more episodes than were initially planned. Many of the characters starred in commercials and advertisements in Korea. The show's popularity also led to High Kick Through the Roof, which aired in 2009-2010, and High Kick 3: The Counterattack of the Short Leg, which aired in 2011-2012."", ""kr"": ""3대가 모여 사는 가족의 일상을 코믹하게 다룬 시트콤"", ""vn"": ""Nội dung phim xoay quanh những câu chuyện trong cuộc sống của các thành viên của nhà họ Lee, một gia đình Hàn Quốc sống ở Seoul.""}","High Kick","High Kick! was a popular South Korean situation comedy revolving around the life of the Lee family, taking place in Seoul at the same time as the broadcast. The title of the show ""High Kick!"" has several implications, one of which is the oft-depicted high kicks of Yoon-ho, one of the main characters. The show aired in South Korea from Monday to Friday in sitcom format. Due to its popularity, the show filmed more episodes than were initially planned. Many of the characters starred in commercials and advertisements in Korea. The show's popularity also led to High Kick Through the Roof, which aired in 2009-2010, and High Kick 3: The Counterattack of the Short Leg, which aired in 2011-2012.","53.812","8.7","2006-11-06 00:00:00"
1893,0,74103,False,"/kp81tArf277CKW2VvTluaDM3kyv.jpg","2017-09-12",False,"2018-10-26","/yOqT1WgoRrSVHUOTVlHNA0RpF9U.jpg","Ended","",8,"{""en"": ""Mischievous Detectives"", ""kr"": ""Mischievous Detectives"", ""vn"": ""Mischievous Detectives""}","{""en"": ""A comedic mystery that follows two genius high schoolers and a female police detective as they solve cases that arise while following the disappearances of the boys’ parents."", ""kr"": ""A comedic mystery that follows two genius high schoolers and a female police detective as they solve cases that arise while following the disappearances of the boys’ parents."", ""vn"": ""A comedic mystery that follows two genius high schoolers and a female police detective as they solve cases that arise while following the disappearances of the boys’ parents.""}","Mischievous Detectives","A comedic mystery that follows two genius high schoolers and a female police detective as they solve cases that arise while following the disappearances of the boys’ parents.","69.458","2.8","2017-09-12 00:00:00"
1894,0,74473,False,"/xrDUZ2m3oT9SBxoSsnPC9409FVd.jpg","2017-10-11",False,"2017-11-16","/5UFDwXBLFWGAomUHMAEdONcGyFr.jpg","Ended","",15,"{""en"": ""Avengers Social Club"", ""kr"": ""부암동 복수자들"", ""vn"": ""Câu Lạc Bộ Báo Thù""}","{""en"": ""Women gather power to revenge on targets, as well as uncover social injustice."", ""kr"": ""재벌가의 딸, 재래시장 생선장수, 그리고 대학교수 부인까지 살면서 전혀 부딪힐 일 없는 이들이 계층을 넘어 가성비 좋은 복수를 펼치는 현실 응징극"", ""vn"": ""Phim kể về những người công dân bình thường nhưng tất cả đều có những lý do riêng khác nhau, mang theo ra một kế hoạch trả thù của riêng mình.""}","Avengers Social Club","Women gather power to revenge on targets, as well as uncover social injustice.","47.384","8.1","2017-10-11 00:00:00"
1895,0,14803,False,"/w3A813y7pn8Kf9MTVlaYUWJNL2I.jpg","2007-07-28",False,"2008-01-20","/wlgH2e2n47OVGefzSYhBLFcCP1W.jpg","Ended","",0,"{""en"": ""Daughters-in-Law"", ""kr"": ""Daughters-in-Law"", ""vn"": ""Daughters-in-Law""}","{""en"": ""Daughters-in-Law is a South Korean drama that aired from July 28, 2007 to January 20, 2008 in Korea by KBS2 starring Kim Ji-hoon, Lee Pil-mo, Lee Soo-kyung and Seo Young-hee. It premiered on KBS2 every Saturday and Sunday at 19:55 for 54 episodes.\n\nThe Korean title \""며느리 전성시대\"" can be literally translated to \""The Golden Age of Daughters-in-Law\"". This is an ironic reference to the fact that the traditional role of a Korean daughter-in-law was a life filled with thankless drudgery. This show explores whether modern life and ethos have improved the lives of daughters-in-law in various circumstances with a comedic tone."", ""kr"": ""Daughters-in-Law is a South Korean drama that aired from July 28, 2007 to January 20, 2008 in Korea by KBS2 starring Kim Ji-hoon, Lee Pil-mo, Lee Soo-kyung and Seo Young-hee. It premiered on KBS2 every Saturday and Sunday at 19:55 for 54 episodes.\n\nThe Korean title \""며느리 전성시대\"" can be literally translated to \""The Golden Age of Daughters-in-Law\"". This is an ironic reference to the fact that the traditional role of a Korean daughter-in-law was a life filled with thankless drudgery. This show explores whether modern life and ethos have improved the lives of daughters-in-law in various circumstances with a comedic tone."", ""vn"": ""Daughters-in-Law is a South Korean drama that aired from July 28, 2007 to January 20, 2008 in Korea by KBS2 starring Kim Ji-hoon, Lee Pil-mo, Lee Soo-kyung and Seo Young-hee. It premiered on KBS2 every Saturday and Sunday at 19:55 for 54 episodes.\n\nThe Korean title \""며느리 전성시대\"" can be literally translated to \""The Golden Age of Daughters-in-Law\"". This is an ironic reference to the fact that the traditional role of a Korean daughter-in-law was a life filled with thankless drudgery. This show explores whether modern life and ethos have improved the lives of daughters-in-law in various circumstances with a comedic tone.""}","Daughters-in-Law","Daughters-in-Law is a South Korean drama that aired from July 28, 2007 to January 20, 2008 in Korea by KBS2 starring Kim Ji-hoon, Lee Pil-mo, Lee Soo-kyung and Seo Young-hee. It premiered on KBS2 every Saturday and Sunday at 19:55 for 54 episodes.

The Korean title ""며느리 전성시대"" can be literally translated to ""The Golden Age of Daughters-in-Law"". This is an ironic reference to the fact that the traditional role of a Korean daughter-in-law was a life filled with thankless drudgery. This show explores whether modern life and ethos have improved the lives of daughters-in-law in various circumstances with a comedic tone.","40.16","0","2007-07-28 00:00:00"
1896,0,36742,False,"/q9blncHYRHhqvGG2I5vqnaTIK34.jpg","2005-04-13",False,"2005-06-02","/3cgDLszKBgk1UgcWXnhcYUTy3Da.jpg","Ended","",6,"{""en"": ""Hello My Teacher"", ""kr"": ""건빵 선생과 별사탕"", ""vn"": ""Hello My Teacher""}","{""en"": ""Na Bori is a 25-year-old woman who desperately wants to be a teacher at the high school she was kicked out of due misunderstanding with her teachers over injuring a group of male classmates. After getting her GED, she rejects job offers from other high schools and works on becoming a teacher at her old high school so she could work side by side with her high school love interest, the art teacher Ji Hyun Woo. However, the only thing that enables her to get the coveted job is by signing a contract to essentially babysit Park Tae In, a troublemaker, who attends the same high school. Tae In, a lonely youth, quickly becomes the \""jjang\"", or \""king\"" of the high school, and enjoys playing mean tricks on Bori whose easygoing personality attracts the majority of her students. Noh Jemma is jealous of the relationship between Bori and Tae In, and goes out of her way to get Bori kicked out but she's not the only one against them."", ""kr"": ""\n\n일진회를 비롯한 학교의 문제아들은 어떤 면에서, 우리 사회가, 우리네 가정들이 이렇게 아프다고, 이렇게 병들어 있다고, 온몸으로 질러대는 비명은 아닐까? 여기, 고교시절에 문제 행동으로 학교 밖으로 조기에 격리됐다가 세상 모진 풍파를 다 겪고 마침내 모교의 선생이 되어 돌아오는 한 여자가 있다. 학교의 문제아들을 대하는 그녀의 문제적 행동(교육)을 통해 우리 학교와 가정과 사회의 상처를 따뜻하게 끌어안아보고자 한다.\n\n "", ""vn"": ""Na Bori is a 25-year-old woman who desperately wants to be a teacher at the high school she was kicked out of due misunderstanding with her teachers over injuring a group of male classmates. After getting her GED, she rejects job offers from other high schools and works on becoming a teacher at her old high school so she could work side by side with her high school love interest, the art teacher Ji Hyun Woo. However, the only thing that enables her to get the coveted job is by signing a contract to essentially babysit Park Tae In, a troublemaker, who attends the same high school. Tae In, a lonely youth, quickly becomes the \""jjang\"", or \""king\"" of the high school, and enjoys playing mean tricks on Bori whose easygoing personality attracts the majority of her students. Noh Jemma is jealous of the relationship between Bori and Tae In, and goes out of her way to get Bori kicked out but she's not the only one against them.""}","Hello My Teacher","Na Bori is a 25-year-old woman who desperately wants to be a teacher at the high school she was kicked out of due misunderstanding with her teachers over injuring a group of male classmates. After getting her GED, she rejects job offers from other high schools and works on becoming a teacher at her old high school so she could work side by side with her high school love interest, the art teacher Ji Hyun Woo. However, the only thing that enables her to get the coveted job is by signing a contract to essentially babysit Park Tae In, a troublemaker, who attends the same high school. Tae In, a lonely youth, quickly becomes the ""jjang"", or ""king"" of the high school, and enjoys playing mean tricks on Bori whose easygoing personality attracts the majority of her students. Noh Jemma is jealous of the relationship between Bori and Tae In, and goes out of her way to get Bori kicked out but she's not the only one against them.","52.988","6.8","2005-04-13 00:00:00"
1897,0,3504,False,"/jlkSFD6hQ5mWjyEVIrUPLgMW4Zl.jpg","2004-07-14",False,"2004-09-02","/9V5lJ1z3sEsrEJXXFN8pzlMRd7D.jpg","Ended","",63,"{""en"": ""Full House"", ""kr"": ""풀하우스"", ""vn"": ""Ngôi Nhà Hạnh Phúc - Full House""}","{""en"": ""Han Ji-eun is a naive writer who got swindled out of everything she owned including her house by her best friends. Stranded in China, She managed to borrow money from an actor Lee Young-jae to return to Korea. On her return, she found out that her house was bought by Lee Young-jae. In an attempt to get her possessions back, she entered in a contract marriage with Young-jae for one year. In spite of losing all, Ji-eun manages to be cheerful and takes things in strike and the business relationship between the two becomes personal as they start to rely and care for each other."", ""kr"": ""젊은 남녀들이 사랑과 희망, 배신과 성공, 열정과 인생, 장쾌하고도 경쾌한, 아름다운 사랑의 대서사시.\n\n스타와의 결혼, 신데렐라는 행복했을까???\n\n아시아의 유명배우로 설정되는 남자 주인공과 평범한 한 여자를 통해 과연 사랑이란 계약하고 이행할 수 있는 거래의 한 부분인가를 조명하려하며 가족이 무엇인지도 이야기 하려 한다.\n\n영재와 지은 두 인물을 둘러싼 여러 인물을 통해 지금은 어려운 시대지만 세상은 얼마나 아름다운 가치를 지니는지, 또 사람은 얼마나 아름다운 존재인지, 힘들고 고되면 고될수록 모두가 더불어 웃을 수 있음이 얼마나 필요한지도 이야기하려 한다.\n\n특히, 남에게 배려를 많이 하는 인물과 자기의 생각을 솔직하게 이야기하는 인물, 요구할 때까지 기다려주는 인물, 세상의 기본가치를 충실히 지켜나가는 인물 등 여러 인물을 내세워서 각각의 관계에서 나의 입장, 너의 입장을 따지지 않는 소통의 이야기를 할 것이다. 그래서 드라마의 결말에는 나만이 행복하기보다, 나는 불행하고 상대방만 행복하기보다 너도, 나도 진정 용기있게 웃을 수 있는 인물을 만들어 내고자 한다.\n\n "", ""vn"": ""Han Ji Eun mồ côi cả cha lẫn mẹ sống một mình đơn độc trong ngôi nhà do chính cha cô thiết kế và xây dựng. Một ngày kia, hai người bạn thân của cô chưa làm đám cưới nhưng họ đã có thai với nhau, nhà cô gái vốn rất giàu có nhưng vì chuyện đó mà cô đã bị đuổi ra khỏi nhà. Bọn họ trở nên rất khó khăn và họ đã tìm cách để bán ngôi nhà của Ji Eun. Họ đưa cô một tấm vé đi du lịch Hồng Kông và bảo là tấm vé miễn phí nhưng thực ra Ji Eun sẽ phải tự chi tất cả. Nhân lúc Ji Eun không có nhà, họ bán nhà của cô cho diễn viên điện ảnh nổi tiếng Lee Young Jae. Han Ji Eun gặp Lee Young Jae trên máy bay và họ đã ở cùng một khách sạn. Do không có tiền, Ji Eun đã phải vay Young Jae. Lúc về nhà, Ji Eun đã không thấy đồ đạc đâu và cô phải làm giúp việc cho Young Jae. Sau một thời gian, họ quyết định lấy nhau theo hợp đồng để Ji Eun lấy lại được ngôi nhà của mình, và nhiều câu chuyện hài hước cũng như tình cảm của hai người bắt đầu nảy nở.""}","Full House","Han Ji-eun is a naive writer who got swindled out of everything she owned including her house by her best friends. Stranded in China, She managed to borrow money from an actor Lee Young-jae to return to Korea. On her return, she found out that her house was bought by Lee Young-jae. In an attempt to get her possessions back, she entered in a contract marriage with Young-jae for one year. In spite of losing all, Ji-eun manages to be cheerful and takes things in strike and the business relationship between the two becomes personal as they start to rely and care for each other.","46.686","6.6","2004-07-14 00:00:00"
1898,0,50720,False,"/6RsKYqUn3gzKwoSASQgS6D794Yt.jpg","2013-05-17",False,"2013-08-02","/lALxgajDhLpqHVm56CT4PhlbDvX.jpg","Ended","",10,"{""en"": ""Monstar"", ""kr"": ""몬스타"", ""vn"": ""Monstar""}","{""en"": ""\""Monstar\"" depicts the lives of ordinary teens who are injured psychologically and heal themselves through the power of music. Yoon Sul-Chan is the vocalist for the group \""Man in Black\"". He carries deep wounds within his mind, but doesn't express his feelings. Because of his hot temper, he causes trouble. His management company then orders him to carry himself as an ideal student. He joins a music band at school, while facing unexpected events."", ""kr"": ""평범하기 짝이 없는 일반고교에 벌어진 특별하고도 엄청난 사건! 당대 최고의 아이돌 스타가 학교로 돌아온다는 소식이 전해지고, 적막하고 따분하던 학교는 연일 술렁이기 시작한다. 스타의 등장! 그런데 웬걸, 뉴질랜드에서 양을 치며 살았다는 엉뚱한 전학생과 '짝'을 하겠단다."", ""vn"": ""\""Monstar\"" depicts the lives of ordinary teens who are injured psychologically and heal themselves through the power of music. Yoon Sul-Chan is the vocalist for the group \""Man in Black\"". He carries deep wounds within his mind, but doesn't express his feelings. Because of his hot temper, he causes trouble. His management company then orders him to carry himself as an ideal student. He joins a music band at school, while facing unexpected events.""}","Monstar","""Monstar"" depicts the lives of ordinary teens who are injured psychologically and heal themselves through the power of music. Yoon Sul-Chan is the vocalist for the group ""Man in Black"". He carries deep wounds within his mind, but doesn't express his feelings. Because of his hot temper, he causes trouble. His management company then orders him to carry himself as an ideal student. He joins a music band at school, while facing unexpected events.","68.072","5.1","2013-05-17 00:00:00"
1899,0,137471,False,"/wxImCRZIhW62nx75k3qewzSJ4qi.jpg","2021-11-29",False,"2022-01-18","/whCeG144BXyPT9HnXE4WOZLtoAm.jpg","Ended","",8,"{""en"": ""Show Window: Queen's House"", ""kr"": ""쇼윈도: 여왕의 집"", ""vn"": ""Phía Sau Khung Cửa Sổ""}","{""en"": ""Han Sun-Joo’s life is perfect. She is married to Shin Myung-Seob and they have children. She tries to help her husband succeed at Rahen Group, a company which her mother runs, and she also tries to raise her children as best as she can. Before their marriage, Shin Myung-Seob was in a poor financial situation and he came from a poor background. His life changed drastically after he married Han Sun-Joo. He is now recognized at work. He is a good husband and father, but he meets Yoon Mi-Ra and becomes attracted to her. Meanwhile, Han Jung-Won is Han Sun-Joo’s younger brother. He has a warm heart and he is a good to Han Sun-Joo."", ""kr"": ""남편의 여자인 줄 모르고 불륜을 응원한 한 여자의 이야기를 그리는 미스터리 치정 멜로드라마"", ""vn"": ""Window: The Queen's House - Phía Sau Khung Cửa Sổ bắt đầu từ Han Sun Joo (Song Yoon Ah đóng), người phụ nữ gần như hoàn hảo ở mọi mặt. Cô sinh ra trong một gia đình giàu có, Sun Joo và em trai của cô Han Jung Won (Hwang Chan Sung đóng) được lớn lên trong điều kiện tốt đẹp nhưng ít ai biết được rằng phía sau khung cửa sổ ấy lại là hai đứa bé thiếu đi tình yêu thương. Giờ đây khi trưởng Jung Won đã trở thành một người đàn ông chín chắn với trái tim ấm áp, anh luôn có một tinh thần lạc quan vững chắc. Trong khi đó, người chị Han Sun Joo kết hôn với một người chồng lý tưởng, sống trong ngôi nhà lộng lẫy và có một đứa con xinh đẹp. Cuộc sống hoàn hảo của Sun Joo bỗng chốc biến thành đống đổ nát khi cô phát hiện ra chồng mình ngoại tình. Nỗi ám ảnh về nỗi đau phía sau khung cửa sổ từ nhỏ của cô chính thức lặp lại một lần nữa.""}","Show Window: Queen's House","Han Sun-Joo’s life is perfect. She is married to Shin Myung-Seob and they have children. She tries to help her husband succeed at Rahen Group, a company which her mother runs, and she also tries to raise her children as best as she can. Before their marriage, Shin Myung-Seob was in a poor financial situation and he came from a poor background. His life changed drastically after he married Han Sun-Joo. He is now recognized at work. He is a good husband and father, but he meets Yoon Mi-Ra and becomes attracted to her. Meanwhile, Han Jung-Won is Han Sun-Joo’s younger brother. He has a warm heart and he is a good to Han Sun-Joo.","49.007","6.8","2021-11-29 00:00:00"
1900,0,66218,False,"/f6StHm5S3lJZTKvTe7345GWIulr.jpg","2016-04-17",False,"2021-05-07","/5qYerGYKnAuxIRRu0192Dt0fTld.jpg","Ended","What would YOU do if you fell into your favorite K-drama?",35,"{""en"": ""Dramaworld"", ""kr"": ""드라마 월드"", ""vn"": ""Dramaworld""}","{""en"": ""When 20-year-old college student and K-drama fanatic Claire Duncan is transported into her favorite drama, “Taste of Love”, her appearance throws the show off-balance, causing other dramas to splice into the series. Mysterious waiter Seth Ko made his own journey into the drama years ago from the real world and mentors Claire on how to navigate the dramaworld. What kind of crazy adventure will Claire experience?"", ""kr"": ""한국 드라마 팬인 백인 소녀가 한국 드라마 속 세계로 빨려 들어간다. 드라마월드 속에 갇혀서 해피엔딩 결말을 못 보면 현실로 돌아올 수 없게 된 한국 드라마 덕후 클레어. 드라마월드를 구성하는 조력자들과 함께 드라마월드 속 주인공들의 해피엔딩을 완성해야 한다!"", ""vn"": ""When 20-year-old college student and K-drama fanatic Claire Duncan is transported into her favorite drama, “Taste of Love”, her appearance throws the show off-balance, causing other dramas to splice into the series. Mysterious waiter Seth Ko made his own journey into the drama years ago from the real world and mentors Claire on how to navigate the dramaworld. What kind of crazy adventure will Claire experience?""}","Dramaworld","When 20-year-old college student and K-drama fanatic Claire Duncan is transported into her favorite drama, “Taste of Love”, her appearance throws the show off-balance, causing other dramas to splice into the series. Mysterious waiter Seth Ko made his own journey into the drama years ago from the real world and mentors Claire on how to navigate the dramaworld. What kind of crazy adventure will Claire experience?","67.606","7.129","2016-04-17 00:00:00"
1901,0,46542,False,"/XL56JavdCOL9SqgiMHHz5roDZN.jpg","2012-02-27",False,"2012-08-30","/oCiW1QyEwZislxRmEuHzCsLTHJJ.jpg","Ended","",2,"{""en"": ""Yellow Boots"", ""kr"": ""Yellow Boots"", ""vn"": ""Yellow Boots""}","{""en"": ""\""Yellow Boots\"" is a drama about the revenge of a woman who lost everything after being framed for a crime."", ""kr"": ""의붓동생에 의해 죄를 뒤집어 쓰면서 사랑하는 남자를 빼앗기고 모든 것을 잃은 한 여자의 복수극을 담은 이야기"", ""vn"": ""\""Yellow Boots\"" is a drama about the revenge of a woman who lost everything after being framed for a crime.""}","Yellow Boots","""Yellow Boots"" is a drama about the revenge of a woman who lost everything after being framed for a crime.","42.285","5","2012-02-27 00:00:00"
